UID	C2PJTACXX_4_TACAGC_1.bed	C3B9JACXX_2_CCGTCC_1.bed	C2F7PACXX_7_AGTTCC_1.bed	C2NC1ACXX_3_ATTCCT_1.bed	SRS380396_1.bed	SRS606816_1.bed	C2EJBACXX_2_AGGCCG_1.bed	D2GEUACXX_7_CAACTA_1.bed	C2F5LACXX_8_CCACGC_1.bed	SRS380430_1.bed	C2PJTACXX_6_CTCAGA_1.bed	C2F5LACXX_6_GCAAGG_1.bed	C37FTACXX_4_ACTCTC_1.bed	C2F8BACXX_5_TACAGC_1.bed	C2F8BACXX_3_ATGTCA_1.bed	C2MRVACXX_7_CCTTAG_1.bed	SRS380435_1.bed	SRS380365_1.bed	C2F8BACXX_6_ATAATT_1.bed	C2F5LACXX_6_TTCGAA_1.bed	C2F5JACXX_8_GCACTT_1.bed	C2F8BACXX_4_TGACCA_1.bed	C2F7PACXX_2_CTTGTA_1.bed	C37FTACXX_4_ATAATT_1.bed	SRS380305_1.bed	C2F5LACXX_7_CTGCTG_1.bed	SRS380321_1.bed	SRS380406_1.bed	SRS380449_1.bed	C2F5JACXX_2_TGGCGC_1.bed	C34AYACXX_3_TAATCG_1.bed	SRS380310_1.bed	SRS380341_1.bed	SRS380419_1.bed	SRS380316_1.bed	C2EJBACXX_4_CGTACG_1.bed	C2PVKACXX_3_TGGCGC_1.bed	C2F5JACXX_5_GAAACC_1.bed	C2PNJACXX_1_AAACAT_1.bed	SRS380447_1.bed	C2F5JACXX_8_AAACAT_1.bed	C2PTNACXX_4_GCTCCA_1.bed	SRS380380_1.bed	SRS380347_1.bed	SRS380367_1.bed	C2F5JACXX_4_ATCTAT_1.bed	C2F5JACXX_7_AGAAGA_1.bed	SRS380350_1.bed	SRS380393_1.bed	SRS380278_1.bed	SRS380338_1.bed	SRS380364_1.bed	SRS380301_1.bed	C2F5JACXX_1_CACTCA_1.bed	SRS380366_1.bed	C2NR9ACXX_1_AAATGC_1.bed	SRS380287_1.bed	C2PJTACXX_5_CTAGCT_1.bed	C2F7PACXX_3_CCGCAA_1.bed	C2F7PACXX_8_CGAGAA_1.bed	C2F5JACXX_5_GCCTTA_1.bed	C2EJBACXX_1_CCTTAG_1.bed	SRS380331_1.bed	SRS380293_1.bed	SRS380289_1.bed	SRS380377_1.bed	SRS380437_1.bed	C2PJTACXX_8_ATGAGC_1.bed	SRS380436_1.bed	C2F7PACXX_8_AGCGCT_1.bed	SRS380343_1.bed	C2F7PACXX_5_GCTCCA_1.bed	C2NR9ACXX_7_CATTTT_1.bed	C2NR9ACXX_1_AAGGAC_1.bed	C37FTACXX_8_TGACCA_1.bed	C2PNJACXX_3_TCGAAG_1.bed	C2F7PACXX_5_GTAGAG_1.bed	SRS380375_1.bed	C2EJBACXX_8_ACTGAT_1.bed	C2F8BACXX_8_AGGTTT_1.bed	C37FTACXX_5_TGCTGG_1.bed	SRS616789_1.bed	SRS380392_1.bed
ZNF195:ENSG00000005801:I7.1-E8.1|ENSG00000005801:E6.4-E13.1	0.4765625	0	0	0	0	0.344537815	0	0	0	0.2	0	0	0.25	0	0	0	0	0	0	0	0		0	0.458937198	0.222222222	0	0.291338583	0	0.166666667	0.151515152	0	0.142045455	0.35		0.302325581	0.446808511	0.134146341	0	0.125	0.267605634	0	0	0	0.25	0.316770186	0.12	0.43220339	0.310344828	0.152941176	0.173333333	0.108695652	0.115789474	0.212765957	0.166666667	0.214285714	0.126506024	0.152380952	0	0	0	0	0.274193548	0.176470588	0	0.483146067	0.634408602	0	0.317647059	0.201117318	0.366666667	0.320754717	0.125	0.261261261	0.464285714	0	0	0.385964912	0.160220994	0.322580645	0	0.431192661	0.213114754	0
OSBPL7:ENSG00000006025:I7.1-E8.1|ENSG00000006025:E7.1-E8.3	0.140625	0.395833333	0.107692308	0	0	0.138888889	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0.217391304	0	0	0	0	0	0	0	0.109090909	0.56097561		0.421875	0	0	0	0	0	0	0	0	0.2	0.243243243	0	0	0.094827586	0.173469388	0	0.052238806	0.102941176	0.245901639	0	0.465517241	0.171875	0.288461538	0	0		0	0	0	0	0	0.462962963	0.058823529	0	0.197802198	0	0.243589744	0	0.4375	0	0.303030303	0		0.244604317	0.294117647	0.833333333	0.324324324	0.368421053	0.059360731
OSBPL7:ENSG00000006025:E7.1-E8.3|ENSG00000006025:I7.1-E8.1	0.705128205	0.491525424	0.734177215	1	1	0.704545455	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	0.616438356	1	1	1	1	1	1	1	0.765625	0.295081967		0.486842105	1	1	1	1	1	1	1	1	0.714285714	0.571428571	1	1	0.846774194	0.716814159	1	0.863945578	0.835616438	0.666666667	1	0.436619718	0.688311688	0.528571429	1	1		1	1	1	1	1	0.414285714	0.909952607	1	0.722772277	1	0.662921348	1	0.415384615	1	0.511111111	1		0.65625	0.6	0.109090909	0.480769231	0.352941176	0.903508772
OSBPL7:ENSG00000006025:E7.1-I7.1|ENSG00000006025:E7.1-E8.3	0.202898551	0.275	0.194444444	0	0	0.205128205	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0.256198347	0	0	0	0	0	0	0	0.155172414	0.526315789		0.244897959	0	0	0	0	0	0	0	0	0.130434783	0.3	0	0	0.07079646	0.15625	0	0.092857143	0.075757576	0.148148148	0	0.295454545	0.196969697	0.327272727	0	0		0	0	0	0	0	0.355555556	0.035175879	0	0.120481928	0	0.157142857	0	0.386363636	0	0.342857143	0		0.166666667	0.2	0.76	0.375	0.555555556	0.041860465
GTF2IRD1:ENSG00000006704:I23.1_73985612-E24.1|ENSG00000006704:E23.1-E24.1	0		1	0	0		0.8		1	0.555555556	0.2		0	1	0.730769231		0		0.65	1	0.880952381	0	0.3	0.2	0.5		0.057142857	0.227272727	0	0		0.222222222	0		0	0.888888889	0	0.98	0.75	0.538461538	0.090909091	0.111111111		0.7	0.333333333		0.090909091		0.306666667	0.6	0.125	0.12	0.1	0.260869565		0.068627451	0	0	0.934782609	0.454545455		0.363636364	0	0.743589744		0.892857143		0	0.307692308	0.179487179	0	0	0	0.461538462	0.018867925	0	0	0		0		0	0.04
VPS41:ENSG00000006715:I28.1-E29.1|ENSG00000006715:E28.1-E29.2	0.12	0	0	0		0	0			0.105263158	0	0	0	0		0		0	0	0				0	0		0	0	0	0	0	0	0		0	0	0	0	0	0		0		0.25	0.363636364	0.333333333	0	0.173333333	0.106060606	0.176470588	0	0	0	0	0.28125	0	0.19047619	0	0	0	0	0	0	0	0	0.441176471		0	0.215686275		0.118644068	0.555555556	0	0	0	0	0	0.460526316	0.333333333	0.5		0	0
VPS41:ENSG00000006715:E28.1-E29.2|ENSG00000006715:E28.1-I28.1	0.698630137	0.857142857	1	0.936170213		0.942857143	1			0.728571429	0.604651163	0.8125	0.666666667	0.764705882		0.8125		1	1	1				0.933333333	0.695652174		0.45	0.764705882	0.789473684	0.615384615	0.884297521	0.977272727	0.282051282		0.580645161	1	0.719298246	1	0.966292135	0.894736842		1		0.617647059	0.344827586	0.4	0.84	0.628865979	0.691358025	0.65	0.982142857	0.740740741	0.733333333	1	0.416666667	0.835	0.602409639	0.64516129	1	1	1	0.772727273	0.972222222	0.961538462	0.8	0.3		1	0.493333333		0.5375	0.2	0.855670103	0.9	0.911111111	0.807017544	0.85	0.208333333	0.37037037	0.296296296		0.47826087	0.943396226
CD79B:ENSG00000007312:E2.2-E3.2|ENSG00000007312:E2.2-E4.1	0.661870504	0.731707317	0.758985201	0.737704918	0.385135135	0.683333333	0.807407407	0.378378378	0.512820513	0.741617357	0.433898305	0.679802956	0.641221374	0.824561404	0.56	0.733870968	0.657142857	0.316037736	0.626666667	0.815217391	0.69	0.762352941	0.725	0.843137255	0.71372549	0.904458599	0.566037736	0.490740741	0.538461538	0.323076923	0.696808511	0.629360465	0.444444444		0.726415094	0.707207207	0.435294118	0.661316212	0.655629139	0.561403509	0.52173913	0.473684211	0.181818182	0.691629956	0.826086957	0.689655172	0.274193548	0.76744186	0.689922481	0.418604651	0.795396419	0.574898785	0.437037037	0.811881188	0.15	0.95	0.528735632	0.5	0.770308123	0.7	0.668	0.662962963	0.5	0.722857143	0.493150685	0.538461538	0.693877551	0.609756098	0.724489796	0.411522634	0.470588235	0.125	0.758139535	0.690647482	0.329545455	0.700374532	0.322580645		0.113924051		0.388888889	0.407407407	0.770547945
CD79B:ENSG00000007312:E3.2-E4.1|ENSG00000007312:E2.2-E4.1	0.732142857	0.800970874	0.754246886	0.74522293	0.438271605	0.724409449	0.808333333	0.643410853	0.321428571	0.841387856	0.53271028	0.682926829	0.671532847	0.798657718	0.620689655	0.784313725	0.710843373	0.36622807	0.125	0.771300448	0.706161137	0.761511216	0.722826087	0.871559633	0.827830189	0.898648649	0.603448276	0.64516129	0.8	0.228070175	0.69273743	0.730851064	0.35483871		0.826347305	0.726890756	0.529411765	0.685670262	0.730769231	0.671052632	0.543778802	0.5	0.554455446	0.787878788	0.84	0.794871795	0.375	0.858208955	0.759753593	0.698795181	0.870065789	0.706703911	0.612565445	0.825688073	0.304347826		0.554347826	0.6	0.828810021	0.773584906	0.536231884	0.676806084	0.65	0.762962963	0.660550459	0.522727273	0.74137931	0.407894737	0.870646766	0.460377358	0.470588235	0.222222222	0.771929825	0.619469027	0.414141414	0.741935484	0.171052632		0.166666667		0.5	0.459770115	0.857142857
LUC7L:ENSG00000007392:E2.13-I2.1|ENSG00000007392:E2.7-I3.2	0.492890995	0.212765957	0	0.385542169	0.574912892	0.411764706	0	0.347826087	0	0.428571429	0.305555556	0.090909091	0.43373494	0.298507463	0.202531646	0.516129032	0	0.380952381	0.72	0	0.097826087	0	0.270440252	0.213836478	0.414012739	0	0.417910448	0.596273292	0.215568862	0	0.514925373	0.348314607	0.590361446		0.639175258	0.530434783	0.382352941	0.166666667	0.505494505	0.207920792	0	0	0.314285714	0.323232323	0.612403101	0	0.61829653	0.361702128	0.278301887	0.268656716	0.223214286	0.248062016	0.362549801	0.390977444	0.664948454	0.317152104	0.272727273	0.592391304	0	0	0.094339623	0.5	0.416666667	0.288288288	0	0.596412556	0.211678832	0.342857143	0.30952381	0.573033708	0.24382716	0.379603399	0.546468401	0.611464968	0.445255474	0.416	0.373417722	0.415384615	0.632286996	0.359848485	0.526315789	0.48427673	0.287356322
CRAMP1L:ENSG00000007545:E19.2-E20.1|ENSG00000007545:I19.1-E20.1	0.267857143	0.506493506	1	0.554455446	0.365853659	0.436893204	0.617647059	0.739130435	0.588235294	0.430107527	0.530612245	0.764705882	0.333333333	0.214285714		0.289156627	0.394736842	0.507692308	0.75	1	0.7	0.705882353	0.793650794	0.464285714	0.363636364		0.221621622	0.357429719	0.471204188	0.477777778	0.317073171	0.41796875	0.255605381		0.217948718	0.787234043	0.246073298	0.555555556	0.604166667	0.524822695	0.568807339	1	0.3671875	0.40625	0.252380952	0.224489796	0.477848101	0.426356589	0.392592593	0.428571429	0.690909091	0.333333333	0.334164589	0.851851852	0.3	1	0.424242424	0.287292818	0.358974359	0.71875	0.592592593	0.282352941	0.473214286	0.415730337	0.091954023	0.256410256	0.45	0.677777778	0.355140187	0.228070175	0.432432432	0.27480916	0.388059701	0.311926606	0.431226766	0.64	0.410071942	0.517647059	0.390243902	0.288888889	0.391304348	0.43373494	0.452380952
NADK:ENSG00000008130:E5.5-E6.1|ENSG00000008130:E2.3-E6.1	0.945205479	0.066666667	0.260504202	0.75	0.357142857	0.415254237	0.149019608	1	0.248366013	0.380645161	0.105882353	0.711340206	0.869565217	0.869047619		0.720930233	0.75	0.747126437	0.325	0.052631579	0.25	0.633663366	0.88590604	0.384615385	0.41025641	1	0.692307692	0.85	0.487179487	0.76	0.116071429	0.137795276	0.268292683		0.537313433	0.356435644	0.913043478	0.469135802	0.272108844	0.8	0.309278351	1	0.173333333	0.085	0.119205298	0.446153846	0.743243243	0.159509202	0.654320988	0.260869565	0.258426966	0.626865672	0.622222222	0.518518519	0.185714286	0.422680412	0.142857143	0.545454545	0.4	0.695652174	0.217948718	0.387596899	0.638297872	0.489655172	0.931034483	0.072164948	0.173333333	0.975	0.836065574	0.85	0.804878049	0.388888889	0.555555556	0.907894737	0.735294118	0.715686275	0.226277372	0.85915493	1	0.786666667	0.936507937	0.149253731	0.662068966
SPAG9:ENSG00000008294:E6.2-E9.1|ENSG00000008294:E6.2-E8.1	0.41322314	0.43373494	0.518518519	0.32183908	0.096875	0.405172414	0.625		0	0.284671533	0.202205882		0.251748252	0.137681159	0.098039216	0.170305677	0.125	0.276923077	0.189189189		0.120300752	0	0.15625	0.530769231	0.099447514		0.175771971	0.400809717	0.185882353	0.258883249	0.549618321	0.670682731	0.307251908		0.141361257	0.0625	0.375	0.291666667	0.292929293	0.347826087	0.110599078	0.308270677	0.274004684	0.439490446	0.124069479	0.147492625	0.263157895	0.427906977	0.25210084	0.21875	0.459016393	0.16372796	0.206239168	0.114285714	0.288428325	0.5875	0.475479744	0.227360308	0.062146893	0.469273743	0.586206897	0.280112045	0.430555556	0.402173913	0.375	0.366259711	0.769230769	0.397058824	0.286783042	0.06870229	0.443396226	0.458471761	0.641618497	0.078947368	0.358870968	0.464788732	0.671641791	0.446854664	0.4	0.75872093	0.163157895	0.170686456	0.534653465
SPAG9:ENSG00000008294:E8.1-E9.1|ENSG00000008294:E6.2-E9.1	0.264705882	0.4375	0.3	0.306122449	0.126984127	0.346666667	0.347826087		1	0.358208955	0.585034014		0.438356164	0.525	0.583333333	0.48	0.155172414	0.6	0.5625		0.157894737		0.25	0.327102804	0.390625		0.355932203	0.237113402	0.570640177	0.561983471	0.244897959	0.121052632	0.459546926		0.375	0.518518519	0.441860465	0.481481481	0.442307692	0.454545455	0.237288136	0.075268817	0.533101045	0.25	0.657142857	0.453947368	0.543589744	0.223140496	0.347826087	0.426229508	0.263157895	0.588957055	0.542662116	0.357142857	0.402777778	0.189655172	0.324404762	0.466101695	0.52173913	0.395683453	0.32	0.221518987	0.340425532	0.283018868	0	0.185654008	0.090909091	0.372093023	0.341232227	0.210526316	0.260869565	0.383259912	0.202797203	0.545454545	0.357142857	0.29787234	0.163636364	0.195402299	0.407407407	0.138613861	0.546666667	0.595918367	0.228571429
ST3GAL1:ENSG00000008513:E1.6-E4.1|ENSG00000008513:E1.6-I3.1_134574921	0.614035088	0.602040816	0.847328244	0.432835821	0.19138756	0.849056604	0.770491803	0.431818182	0.555555556	0.538888889	0.777777778	0.491935484	0.368932039	0.496	0	0.485714286	0.509661836	0.627192982	0.047619048	0.75	0.18877551	0.527472527	0.650485437	0.82	0.385224274	0.666666667	0.625	0.575305292	0.497326203	0.737991266	0.611764706	0.883018868	0.485436893		0.375	0.626984127	0.745856354	0.662790698	0.472527473	0.757575758	0.833333333	0.483870968	0.784053156	0.416356877	0.503067485	0.666666667	0.523529412	0.433333333	0.703488372	0.567567568	0.72	0.687150838	0.461538462	0.71641791	0.258064516	0.730769231	0.381526104	0.688118812	0.368	0.612612613	0.860465116	0.432786885	0.877659574	0.701030928	0.945454545	0.318181818	0.893333333	0.68	0.54587156	0.727272727	0.605863192	0.754545455	0.809322034	0.371287129	0.924528302	0.699029126	0.292682927	0.689922481	0.652173913	0.531707317		0.753623188	0.58677686
IL32:ENSG00000008517:E2.4-E2.9|ENSG00000008517:E2.1-E2.9	0.9	0.942857143	0.8	0.925801012	0.304347826	0.862857143	0.842931937	0.826388889	0	0.860759494	0.736842105	0.952054795	0.764705882	0.882352941	0.670886076	0.461538462	0.544965962	0.808988764		1	0.769230769	1	0.916666667		0.777777778		0.746031746	0.845238095	0.75	0.857142857	0.867924528	0.589041096	0.6		0.862068966	1	0.850649351	0.908831909	0.793478261		0.62962963	0.578947368	0.889534884	0.855421687	0.727272727	0.896725441	0.820512821	0.838235294	0.8	0.75862069	0.808695652	0.76635514	0.753731343	0.936507937	0.574712644	1	0.72972973	0.813953488	0.954545455	1	0.862068966	0.84375	0.773049645	0.975806452	0.886676876		0.820512821	0.882926829	0.736842105	0.614285714	0.739726027	0	0.84375	0.712121212	0.777777778	0.852791878	0.439252336	0.691358025	0.761904762	0.3125	0.444444444	0.444444444	0.913907285
