Symbol	Ensembl IDs
RNPS1	ENSG00000205937
HNRNPR	ENSG00000125944
TARDBP	ENSG00000120948
RAB43	ENSG00000172780
RBMXL1	ENSG00000213516
NPM1	ENSG00000181163
SF3B3	ENSG00000189091
POLR2G	ENSG00000168002
DDX39B	ENSG00000198563
HNRNPU	ENSG00000153187
SRSF9	ENSG00000111786
SFSWAP	ENSG00000061936
THOC7	ENSG00000163634
GTF2H2	ENSG00000262169
LUC7L3	ENSG00000108848
APP	ENSG00000142192
GEMIN2	ENSG00000092208
ATP6V1G2	ENSG00000206445
DBR1	ENSG00000138231
FASTK	ENSG00000164896
CPSF6	ENSG00000111605
PDE12	ENSG00000174840
SNRPD1	ENSG00000167088
CSTF3	ENSG00000176102
TNRC6B	ENSG00000100354
SNRNP35	ENSG00000184209
AKR1C4	ENSG00000266359
TRPT1	ENSG00000149743
DGCR14	ENSG00000100056
GRSF1	ENSG00000132463
ISY1	ENSG00000240682
RBM8A	ENSG00000265241
AHCYL1	ENSG00000168710
DDX39B	ENSG00000225073
DDX39B	ENSG00000235439
USP4	ENSG00000114316
DDX41	ENSG00000183258
LSM1	ENSG00000175324
CDC40	ENSG00000168438
DDX39A	ENSG00000123136
CLK2	ENSG00000261893
CNOT1	ENSG00000125107
CCNT1	ENSG00000129315
RBPMS	ENSG00000157110
UPF1	ENSG00000005007
GCFC2	ENSG00000005436
HTATSF1	ENSG00000102241
CTNNBL1	ENSG00000132792
AFF2	ENSG00000155966
POLDIP3	ENSG00000100227
PRX	ENSG00000105227
PAPD5	ENSG00000121274
SLBP	ENSG00000163950
HNRNPC	ENSG00000092199
AKT2	ENSG00000105221
THOC3	ENSG00000051596
CNOT7	ENSG00000198791
PRPF40B	ENSG00000110844
H2AFB3	ENSG00000268901
AFF2	ENSG00000269754
DDX39B	ENSG00000229496
PPIL1	ENSG00000137168
CHTOP	ENSG00000160679
FRG1	ENSG00000260380
SRRM2	ENSG00000167978
DDX39B	ENSG00000225859
PABPN1	ENSG00000100836
ADARB1	ENSG00000197381
CPEB1	ENSG00000214575
RBM38	ENSG00000132819
ZRSR2	ENSG00000169249
CDK9	ENSG00000136807
CCAR1	ENSG00000060339
CELF6	ENSG00000140488
SF3A2	ENSG00000104897
SRRM1	ENSG00000133226
SKIV2L2	ENSG00000039123
H2AFB1	ENSG00000198082
PPIG	ENSG00000138398
CASC3	ENSG00000108349
SNRPN	ENSG00000128739
ELAVL4	ENSG00000162374
PIK3R1	ENSG00000145675
SARNP	ENSG00000205323
HNRNPUL1	ENSG00000105323
ERN1	ENSG00000178607
DHX8	ENSG00000067596
GEMIN6	ENSG00000152147
CCBL2	ENSG00000137944
RBMY1J	ENSG00000226941
MAGOH	ENSG00000162385
BRDT	ENSG00000137948
RBM10	ENSG00000271352
PAPD4	ENSG00000164329
FAM103A1	ENSG00000169612
SMNDC1	ENSG00000119953
SLC39A5	ENSG00000139540
CDK11A	ENSG00000008128
TSEN34	ENSG00000170892
PRMT5	ENSG00000100462
RBM23	ENSG00000100461
RNGTT	ENSG00000111880
GPATCH1	ENSG00000076650
H2AFB2	ENSG00000267863
TTF2	ENSG00000116830
LSM4	ENSG00000130520
ZFP36	ENSG00000128016
CELF5	ENSG00000161082
PRPF40A	ENSG00000196504
UPF3B	ENSG00000125351
SON	ENSG00000159140
TUT1	ENSG00000149016
POLR2K	ENSG00000147669
KIAA1967	ENSG00000158941
FIP1L1	ENSG00000145216
HNRNPA0	ENSG00000177733
USP49	ENSG00000164663
DQX1	ENSG00000144045
DNAJC8	ENSG00000126698
MBNL2	ENSG00000139793
NCBP1	ENSG00000136937
RNF113B	ENSG00000139797
ZMAT2	ENSG00000146007
NONO	ENSG00000147140
PRPF6	ENSG00000101161
RBFOX3	ENSG00000267483
NSRP1	ENSG00000126653
DCPS	ENSG00000110063
THOC1	ENSG00000079134
RBMY1F	ENSG00000169800
CPSF1	ENSG00000071894
RPS13	ENSG00000110700
DDX5	ENSG00000108654
PRKACA	ENSG00000072062
CWC27	ENSG00000153015
DHX9	ENSG00000135829
RNASEL	ENSG00000135828
PSPC1	ENSG00000121390
HELB	ENSG00000127311
CLK3	ENSG00000179335
SART3	ENSG00000075856
RBFOX1	ENSG00000078328
SRSF10	ENSG00000215699
KHSRP	ENSG00000088247
SNW1	ENSG00000100603
FASTKD5	ENSG00000215251
DHX16	ENSG00000233561
ELAVL1	ENSG00000066044
DDX1	ENSG00000079785
USB1	ENSG00000103005
RBM15B	ENSG00000259956
THOC2	ENSG00000125676
CRNKL1	ENSG00000101343
PNN	ENSG00000100941
HMX2	ENSG00000188816
SRSF12	ENSG00000154548
AAR2	ENSG00000131043
RHEB	ENSG00000106615
DHX15	ENSG00000109606
SNUPN	ENSG00000169371
U2AF1	ENSG00000160201
TOB1	ENSG00000141232
SAFB	ENSG00000160633
CDK11B	ENSG00000248333
PRPF31	ENSG00000271678
CLP1	ENSG00000172409
METTL3	ENSG00000165819
CLK1	ENSG00000013441
TXNL4B	ENSG00000140830
DHX16	ENSG00000233049
CIR1	ENSG00000138433
ADARB2	ENSG00000185736
GEMIN5	ENSG00000082516
HNRNPH2	ENSG00000268642
SUPT5H	ENSG00000196235
AQR	ENSG00000021776
PCBP4	ENSG00000090097
XAB2	ENSG00000076924
HSPA8	ENSG00000109971
RBM25	ENSG00000119707
RBMY1B	ENSG00000242875
PABPC1	ENSG00000070756
ZRANB2	ENSG00000132485
H2AFB2	ENSG00000198307
SMN2	ENSG00000262170
WBP11	ENSG00000084463
ZRSR1	ENSG00000212643
YBX1	ENSG00000065978
SNRPD3	ENSG00000100028
PRPF4	ENSG00000136875
SRPK2	ENSG00000135250
HNRNPM	ENSG00000099783
MBNL1	ENSG00000152601
SYNCRIP	ENSG00000135316
KHDRBS3	ENSG00000131773
NUDT21	ENSG00000167005
PAPOLG	ENSG00000115421
LSM2	ENSG00000225998
ZNF326	ENSG00000162664
ECD	ENSG00000122882
POLR2A	ENSG00000181222
BUD31	ENSG00000106245
CDK13	ENSG00000065883
SUGP2	ENSG00000064607
RBM26	ENSG00000139746
NCBP2L	ENSG00000170935
RBM41	ENSG00000089682
ZC3H14	ENSG00000100722
POLR2I	ENSG00000105258
POLR2E	ENSG00000099817
XRN2	ENSG00000088930
ARL6IP4	ENSG00000182196
RBM5	ENSG00000003756
SF3B14	ENSG00000115128
U2AF1L4	ENSG00000161265
SF3B5	ENSG00000169976
RSRC1	ENSG00000174891
CDC73	ENSG00000134371
ZFP64	ENSG00000020256
CPSF7	ENSG00000149532
SRSF5	ENSG00000100650
RBM4B	ENSG00000173914
CLNS1A	ENSG00000074201
CDC5L	ENSG00000096401
UHMK1	ENSG00000152332
DHX16	ENSG00000233418
PCBP2	ENSG00000197111
SNRPD2	ENSG00000125743
U2AF2	ENSG00000063244
RBMY1A1	ENSG00000234414
LSM11	ENSG00000155858
PRPF38B	ENSG00000134186
TXNL4A	ENSG00000141759
TSEN34	ENSG00000262716
DAZAP1	ENSG00000071626
HNRNPF	ENSG00000169813
JMJD6	ENSG00000070495
CNOT6L	ENSG00000138767
SPEN	ENSG00000065526
PCBP1	ENSG00000169564
SNRPA	ENSG00000077312
BTG2	ENSG00000159388
FTSJD2	ENSG00000137200
RBMX2	ENSG00000134597
RBMY1E	ENSG00000242389
CELF4	ENSG00000101489
SNRNP40	ENSG00000060688
PSIP1	ENSG00000164985
SRSF3	ENSG00000112081
FAM98B	ENSG00000171262
MTPAP	ENSG00000107951
STRAP	ENSG00000023734
GEMIN7	ENSG00000142252
LUC7L	ENSG00000007392
RBMX	ENSG00000147274
DHX16	ENSG00000206486
SF1	ENSG00000168066
HNRNPH1	ENSG00000169045
CCNB1	ENSG00000134057
PPP2CA	ENSG00000113575
SNRNP48	ENSG00000168566
PAF1	ENSG00000006712
CDK12	ENSG00000167258
GEMIN8	ENSG00000046647
PPIL3	ENSG00000240344
DHX32	ENSG00000089876
PDCD7	ENSG00000090470
SF3A1	ENSG00000099995
RBM8A	ENSG00000131795
NAA38	ENSG00000128534
SAP18	ENSG00000150459
ESRP1	ENSG00000104413
SF3B4	ENSG00000263977
YTHDC1	ENSG00000257413
PRPF3	ENSG00000265228
PPARGC1A	ENSG00000109819
NCBP2	ENSG00000114503
RRAGC	ENSG00000116954
LSM2	ENSG00000224979
HNRNPA2B1	ENSG00000122566
WBP4	ENSG00000120688
H2AFB1	ENSG00000268813
PRPF8	ENSG00000174231
THOC5	ENSG00000100296
SUGP1	ENSG00000105705
CTR9	ENSG00000198730
CSTF2T	ENSG00000177613
SF3B2	ENSG00000087365
CPSF1	ENSG00000261230
CPSF3	ENSG00000119203
SMN1	ENSG00000172062
HNRNPA1L2	ENSG00000139675
LSM3	ENSG00000170860
SNRNP25	ENSG00000161981
KIN	ENSG00000151657
SRSF10	ENSG00000188529
TSEN54	ENSG00000182173
SRSF7	ENSG00000115875
RBM15	ENSG00000162775
GTF2H5	ENSG00000185068
C1QBP	ENSG00000108561
CELF1	ENSG00000149187
SETX	ENSG00000107290
HNRNPA1P20	ENSG00000205412
PPIE	ENSG00000084072
LSM2	ENSG00000236826
PPWD1	ENSG00000113593
EFTUD2	ENSG00000108883
EIF4A3	ENSG00000141543
TFIP11	ENSG00000100109
PHRF1	ENSG00000070047
ZCCHC8	ENSG00000033030
SSU72	ENSG00000160075
SCAF11	ENSG00000139218
PNPT1	ENSG00000138035
GPKOW	ENSG00000268675
RNF20	ENSG00000155827
ZC3H3	ENSG00000014164
LSM2	ENSG00000204392
DHX35	ENSG00000101452
LEO1	ENSG00000166477
TIA1	ENSG00000116001
NOL3	ENSG00000140939
ISY1-RAB43	ENSG00000261796
WDR83	ENSG00000123154
APOBEC4	ENSG00000173627
ERN2	ENSG00000134398
PPP1R8	ENSG00000117751
SCNM1	ENSG00000163156
ALKBH5	ENSG00000091542
PPP2R1A	ENSG00000105568
LSM10	ENSG00000181817
MAGOHB	ENSG00000111196
CSTF1	ENSG00000101138
TNRC6C	ENSG00000078687
A1CF	ENSG00000148584
LUC7L2	ENSG00000269955
ALYREF	ENSG00000183684
CWC15	ENSG00000150316
MBNL3	ENSG00000076770
QKI	ENSG00000112531
IVNS1ABP	ENSG00000116679
KHDRBS1	ENSG00000121774
RAVER2	ENSG00000162437
POLR2B	ENSG00000047315
WDR77	ENSG00000116455
GTF2H4	ENSG00000236895
SLU7	ENSG00000164609
SRSF11	ENSG00000116754
BCAS2	ENSG00000116752
CLK4	ENSG00000113240
PLCB1	ENSG00000182621
PRPF39	ENSG00000185246
DDX46	ENSG00000145833
PRMT7	ENSG00000132600
FMR1	ENSG00000268103
RBFOX2	ENSG00000100320
SRSF4	ENSG00000116350
SYF2	ENSG00000117614
SF3B1	ENSG00000115524
AKAP17A	ENSG00000197976
CPEB3	ENSG00000107864
ACIN1	ENSG00000100813
PRPF18	ENSG00000165630
SRSF6	ENSG00000124193
RP11-153K16.2	ENSG00000115934
NOVA2	ENSG00000104967
GEMIN4	ENSG00000179409
GTF2H1	ENSG00000110768
PAN3	ENSG00000152520
RBMY1D	ENSG00000244395
POLR2F	ENSG00000100142
TMBIM6	ENSG00000139644
API5	ENSG00000166181
CPSF2	ENSG00000165934
ESRP2	ENSG00000103067
PAPOLA	ENSG00000090060
BARD1	ENSG00000138376
TRA2B	ENSG00000136527
SYMPK	ENSG00000125755
FRG1	ENSG00000109536
SMN2	ENSG00000205571
TSEN2	ENSG00000154743
PRPF38A	ENSG00000134748
AKAP8L	ENSG00000011243
LSM5	ENSG00000106355
TGS1	ENSG00000137574
RNF40	ENSG00000103549
APOBEC1	ENSG00000111701
HNRNPK	ENSG00000165119
RALY	ENSG00000125970
TSEN15	ENSG00000198860
ZNF638	ENSG00000075292
SNRPB2	ENSG00000125870
SNRPE	ENSG00000182004
PTBP1	ENSG00000011304
RBM42	ENSG00000126254
DYRK1A	ENSG00000157540
CSTF2	ENSG00000101811
SRPK1	ENSG00000096063
NOVA1	ENSG00000139910
THRAP3	ENSG00000054118
AGO2	ENSG00000123908
PPP4R2	ENSG00000163605
PUF60	ENSG00000260485
TSEN34	ENSG00000262868
SF3B4	ENSG00000143368
PQBP1	ENSG00000268142
PPP1R9B	ENSG00000108819
SRSF8	ENSG00000180771
DDX39B	ENSG00000230624
SRRT	ENSG00000087087
CELF2	ENSG00000048740
PABPC1L	ENSG00000101104
ZNF473	ENSG00000142528
THOC6	ENSG00000131652
HNRNPA1	ENSG00000135486
MPHOSPH10	ENSG00000124383
ERCC2	ENSG00000104884
DDX39B	ENSG00000237889
SFPQ	ENSG00000116560
PTBP2	ENSG00000117569
METTL14	ENSG00000145388
SNRNP200	ENSG00000144028
SNRPA1	ENSG00000131876
TSSK2	ENSG00000206203
ZC3H11A	ENSG00000058673
LSM6	ENSG00000164167
FUS	ENSG00000089280
ELAVL2	ENSG00000107105
RPS26	ENSG00000197728
H2AFB3	ENSG00000185978
SRRM4	ENSG00000139767
LSM2	ENSG00000172850
CPSF4	ENSG00000160917
APOBEC2	ENSG00000124701
WTAP	ENSG00000146457
GTF2F1	ENSG00000125651
PRPF3	ENSG00000117360
RBM27	ENSG00000091009
PTCD2	ENSG00000049883
PAPOLB	ENSG00000218823
POLR2D	ENSG00000144231
SNRNP27	ENSG00000124380
DDX39B	ENSG00000215425
PUF60	ENSG00000179950
RBM10	ENSG00000182872
SNRPC	ENSG00000124562
NHP2L1	ENSG00000100138
SRSF1	ENSG00000136450
DDX5	ENSG00000263077
DHX16	ENSG00000226171
